ApiController.java,edu.ucsb.cs.citelines.controller.ApiController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,getCurrentUser,21,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:an_admin_can_post_a_new_project()]
ApiController.java,edu.ucsb.cs.citelines.controller.ApiController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,handleEntityNotFoundException,31,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:update_throws_not_found_for_nonexistent_project()]
ApiController.java,edu.ucsb.cs.citelines.controller.ApiController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,handleForbiddenException,39,KILLED,edu.ucsb.cs.citelines.controller.ApiControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ApiControllerTests]/[method:forbidden_exception_returns_403_with_type_and_message()]
ApiController.java,edu.ucsb.cs.citelines.controller.ApiController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,handleIllegalArgument,59,KILLED,edu.ucsb.cs.citelines.controller.ApiControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ApiControllerTests]/[method:illegal_argument_exception_returns_400_with_type_and_message()]
ApiController.java,edu.ucsb.cs.citelines.controller.ApiController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,handleUnsupportedOperation,47,KILLED,edu.ucsb.cs.citelines.controller.AdminsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.AdminsControllerTests]/[method:admin_tries_to_delete_an_ADMIN_EMAIL_and_gets_right_error_message()]
CitationEdgesController.java,edu.ucsb.cs.citelines.controller.CitationEdgesController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,citations,59,KILLED,edu.ucsb.cs.citelines.controller.CitationEdgesControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.CitationEdgesControllerTests]/[method:owner_can_get_the_citations_of_an_entry()]
CitationEdgesController.java,edu.ucsb.cs.citelines.controller.CitationEdgesController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,lambda$relatedEntries$0,79,KILLED,edu.ucsb.cs.citelines.controller.CitationEdgesControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.CitationEdgesControllerTests]/[method:owner_can_get_the_references_of_an_entry()]
CitationEdgesController.java,edu.ucsb.cs.citelines.controller.CitationEdgesController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,references,45,KILLED,edu.ucsb.cs.citelines.controller.CitationEdgesControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.CitationEdgesControllerTests]/[method:owner_can_get_the_references_of_an_entry()]
CitationEdgesController.java,edu.ucsb.cs.citelines.controller.CitationEdgesController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,relatedEntries,78,KILLED,edu.ucsb.cs.citelines.controller.CitationEdgesControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.CitationEdgesControllerTests]/[method:owner_can_get_the_references_of_an_entry()]
CitationEdgesController.java,edu.ucsb.cs.citelines.controller.CitationEdgesController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,unresolved,74,KILLED,edu.ucsb.cs.citelines.controller.CitationEdgesControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.CitationEdgesControllerTests]/[method:owner_can_get_unresolved_citations_for_a_project()]
HealthController.java,edu.ucsb.cs.citelines.controller.HealthController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,healthCheck,16,KILLED,edu.ucsb.cs.citelines.FrontendProxyControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.FrontendProxyControllerTests]/[method:apiPathIsNotProxied()]
JobsController.java,edu.ucsb.cs.citelines.controller.JobsController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,jobsByProject,51,KILLED,edu.ucsb.cs.citelines.controller.JobsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.JobsControllerTests]/[method:owner_can_list_jobs_for_their_project()]
JobsController.java,edu.ucsb.cs.citelines.controller.JobsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$jobsByProject$0,50,KILLED,edu.ucsb.cs.citelines.controller.JobsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.JobsControllerTests]/[method:list_jobs_throws_not_found_for_nonexistent_project()]
JobsController.java,edu.ucsb.cs.citelines.controller.JobsController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,launchGetCitations,75,KILLED,edu.ucsb.cs.citelines.controller.JobsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.JobsControllerTests]/[method:launch_getCitations_throws_not_found_for_nonexistent_entry()]
JobsController.java,edu.ucsb.cs.citelines.controller.JobsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,launchGetCitations,76,KILLED,edu.ucsb.cs.citelines.controller.JobsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.JobsControllerTests]/[method:owner_can_launch_a_getCitations_job()]
JobsController.java,edu.ucsb.cs.citelines.controller.JobsController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,launchGetReferences,60,KILLED,edu.ucsb.cs.citelines.controller.JobsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.JobsControllerTests]/[method:launch_getReferences_throws_not_found_for_nonexistent_entry()]
JobsController.java,edu.ucsb.cs.citelines.controller.JobsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,launchGetReferences,61,KILLED,edu.ucsb.cs.citelines.controller.JobsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.JobsControllerTests]/[method:owner_can_launch_a_getReferences_job()]
JobsController.java,edu.ucsb.cs.citelines.controller.JobsController,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,requireEntry,87,KILLED,edu.ucsb.cs.citelines.controller.JobsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.JobsControllerTests]/[method:launch_getCitations_throws_not_found_for_nonexistent_entry()]
ProjectCollaboratorsController.java,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,collaboratorsForProject,77,KILLED,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests]/[method:owner_can_list_collaborators_for_a_project()]
ProjectCollaboratorsController.java,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,deleteProjectCollaborator,93,KILLED,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests]/[method:owner_can_delete_a_collaborator()]
ProjectCollaboratorsController.java,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,deleteProjectCollaborator,95,KILLED,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests]/[method:owner_can_delete_a_collaborator()]
ProjectCollaboratorsController.java,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$collaboratorsForProject$1,76,KILLED,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests]/[method:list_throws_not_found_for_nonexistent_project()]
ProjectCollaboratorsController.java,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$deleteProjectCollaborator$2,91,KILLED,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests]/[method:delete_throws_not_found_for_nonexistent_collaborator()]
ProjectCollaboratorsController.java,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$postProjectCollaborator$0,51,KILLED,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests]/[method:post_throws_not_found_for_nonexistent_project()]
ProjectCollaboratorsController.java,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,postProjectCollaborator,61,KILLED,edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectCollaboratorsControllerTests]/[method:owner_can_add_a_collaborator()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,deleteProject,146,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:owner_can_delete_a_project_and_its_collaborators()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,deleteProject,148,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:owner_can_delete_a_project_and_its_collaborators()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,deleteProject,150,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:owner_can_delete_a_project_and_its_collaborators()]
ProjectsController.java,edu.ucsb.cs.citelines.controller.ProjectsController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,getProjectById,99,KILLED,edu.ucsb.cs.citelines.controller.ProjectsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ProjectsControllerTests]/[method:owner_can_get_project_by_id()]
