GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
citelines,edu.ucsb.cs.citelines.collections,CitationEdge,0,18,0,0,0,1,0,1,0,1
citelines,edu.ucsb.cs.citelines.collections,UnresolvedCitation,0,54,0,6,0,7,0,4,0,1
citelines,edu.ucsb.cs.citelines.utilities,CanonicalFormConverter,0,15,0,0,0,3,0,3,0,3
citelines,edu.ucsb.cs.citelines.startup,WiremockApplicationRunner,0,17,0,0,0,6,0,3,0,3
citelines,edu.ucsb.cs.citelines.startup,ScaffoldApplicationRunner,0,14,0,0,0,5,0,3,0,3
citelines,edu.ucsb.cs.citelines.startup,ScaffoldStartup,0,34,0,0,0,11,0,4,0,4
citelines,edu.ucsb.cs.citelines.controller,AdminsController.AdminDTO,0,18,0,0,0,3,0,2,0,2
citelines,edu.ucsb.cs.citelines.controller,UserInfoController,0,6,0,0,0,2,0,2,0,2
citelines,edu.ucsb.cs.citelines.controller,BibTexEntriesController,0,291,0,26,0,62,0,29,0,16
citelines,edu.ucsb.cs.citelines.controller,ProjectsController,0,134,0,0,0,33,0,11,0,11
citelines,edu.ucsb.cs.citelines.controller,HealthController,0,7,0,0,0,2,0,2,0,2
citelines,edu.ucsb.cs.citelines.controller,ApiController,0,50,0,0,0,14,0,8,0,8
citelines,edu.ucsb.cs.citelines.controller,ProjectCollaboratorsController,0,81,0,0,0,21,0,8,0,8
citelines,edu.ucsb.cs.citelines.controller,ResearchersController,0,65,0,2,0,14,0,6,0,5
citelines,edu.ucsb.cs.citelines.controller,AdminsController,0,82,0,2,0,16,0,8,0,7
citelines,edu.ucsb.cs.citelines.controller,SystemInfoController,0,7,0,0,0,2,0,2,0,2
citelines,edu.ucsb.cs.citelines.controller,JobsController,0,108,0,2,0,33,0,10,0,9
citelines,edu.ucsb.cs.citelines.controller,CitationEdgesController,0,104,0,8,0,27,0,13,0,9
citelines,edu.ucsb.cs.citelines.services,SystemInfoServiceImpl,0,58,0,4,0,15,0,5,0,3
citelines,edu.ucsb.cs.citelines.services,BibTexConverterService,0,182,0,10,0,47,0,14,0,9
citelines,edu.ucsb.cs.citelines.services,DOIService,0,47,0,6,0,14,0,6,0,3
citelines,edu.ucsb.cs.citelines.services,ApiRetryHelper.ApiUnavailableException,0,4,0,0,0,2,0,1,0,1
citelines,edu.ucsb.cs.citelines.services,BibTexSynthesisService,0,297,0,38,0,56,0,28,0,9
citelines,edu.ucsb.cs.citelines.services,CitationGraphService.Direction,0,30,0,0,0,7,0,2,0,2
citelines,edu.ucsb.cs.citelines.services,BibTexEntryCoalescingService,0,143,0,22,0,32,0,17,0,6
citelines,edu.ucsb.cs.citelines.services,JobUserProviderImpl,0,26,0,4,0,5,0,5,0,3
citelines,edu.ucsb.cs.citelines.services,CitationGraphService,0,780,0,70,0,152,0,49,0,14
citelines,edu.ucsb.cs.citelines.services,CitationGraphService.ResolverResult,0,9,0,0,0,1,0,1,0,1
citelines,edu.ucsb.cs.citelines.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
citelines,edu.ucsb.cs.citelines.services,LaTeXNormalizationService,0,31,0,4,0,8,0,5,0,3
citelines,edu.ucsb.cs.citelines.services,ResolvedWork,0,33,0,0,0,1,0,1,0,1
citelines,edu.ucsb.cs.citelines.services,ApiRetryHelper,0,290,0,14,0,58,0,16,0,9
citelines,edu.ucsb.cs.citelines.services,SemanticScholarResolver,0,368,0,36,0,86,0,34,0,16
citelines,edu.ucsb.cs.citelines.services,CrossrefResolver,0,367,0,36,0,87,0,36,0,18
citelines,edu.ucsb.cs.citelines.services,OpenAlexService,0,398,0,28,0,85,0,31,0,17
citelines,edu.ucsb.cs.citelines.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
citelines,edu.ucsb.cs.citelines.services,CheckLinksService,0,267,0,30,0,51,0,20,0,5
citelines,edu.ucsb.cs.citelines.errors,EntityNotFoundException,0,17,0,0,0,2,0,1,0,1
citelines,edu.ucsb.cs.citelines.errors,ForbiddenException,0,4,0,0,0,2,0,1,0,1
citelines,edu.ucsb.cs.citelines.interceptors,RoleUpdateInterceptor,0,101,0,12,0,24,0,9,0,3
citelines,edu.ucsb.cs.citelines.jobs,GetReferencesJob,0,16,0,0,0,4,0,3,0,3
citelines,edu.ucsb.cs.citelines.jobs,CheckLinksJob,0,14,0,0,0,4,0,3,0,3
citelines,edu.ucsb.cs.citelines.jobs,GetCitationsJob,0,16,0,0,0,4,0,3,0,3
citelines,edu.ucsb.cs.citelines.jobs,TestJob,0,19,0,2,0,6,0,2,0,1
