ApiController.java,edu.ucsb.cs.citelines.controller.ApiController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,handleIllegalArgument,59,KILLED,edu.ucsb.cs.citelines.controller.ApiControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ApiControllerTests]/[method:illegal_argument_exception_returns_400_with_type_and_message()]
ApiController.java,edu.ucsb.cs.citelines.controller.ApiController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,handleUnsupportedOperation,47,KILLED,edu.ucsb.cs.citelines.controller.AdminsControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.AdminsControllerTests]/[method:admin_tries_to_delete_an_ADMIN_EMAIL_and_gets_right_error_message()]
HealthController.java,edu.ucsb.cs.citelines.controller.HealthController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,healthCheck,16,KILLED,edu.ucsb.cs.citelines.FrontendProxyControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.FrontendProxyControllerTests]/[method:apiPathIsNotProxied()]
ResearchersController.java,edu.ucsb.cs.citelines.controller.ResearchersController,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,allResearchers,41,KILLED,edu.ucsb.cs.citelines.controller.ResearchersControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ResearchersControllerTests]/[method:logged_in_admins_can_get()]
ResearchersController.java,edu.ucsb.cs.citelines.controller.ResearchersController,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,deleteResearcher,49,KILLED,edu.ucsb.cs.citelines.controller.ResearchersControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ResearchersControllerTests]/[method:logged_in_admins_can_delete()]
ResearchersController.java,edu.ucsb.cs.citelines.controller.ResearchersController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,deleteResearcher,53,KILLED,edu.ucsb.cs.citelines.controller.ResearchersControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ResearchersControllerTests]/[method:logged_in_admins_can_delete()]
ResearchersController.java,edu.ucsb.cs.citelines.controller.ResearchersController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,deleteResearcher,50,KILLED,edu.ucsb.cs.citelines.controller.ResearchersControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ResearchersControllerTests]/[method:admin_try_to_delete_a_researcher_not_found()]
ResearchersController.java,edu.ucsb.cs.citelines.controller.ResearchersController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,deleteResearcher,54,KILLED,edu.ucsb.cs.citelines.controller.ResearchersControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ResearchersControllerTests]/[method:logged_in_admins_can_delete()]
ResearchersController.java,edu.ucsb.cs.citelines.controller.ResearchersController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,postResearcher,34,KILLED,edu.ucsb.cs.citelines.controller.ResearchersControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.ResearchersControllerTests]/[method:logged_in_admins_can_post()]
SystemInfoController.java,edu.ucsb.cs.citelines.controller.SystemInfoController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,getSystemInfo,22,KILLED,edu.ucsb.cs.citelines.controller.SystemInfoControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.controller.SystemInfoControllerTests]/[method:systemInfo__admin_logged_in()]
UserInfoController.java,edu.ucsb.cs.citelines.controller.UserInfoController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,getCurrentUser,20,KILLED,edu.ucsb.cs.citelines.UserInfoControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.UserInfoControllerTests]/[method:getCurrentUserWhenAuthenticatedReturns200()]
RoleUpdateInterceptor.java,edu.ucsb.cs.citelines.interceptors.RoleUpdateInterceptor,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,lambda$preHandle$0,51,KILLED,edu.ucsb.cs.citelines.interceptors.RoleUpdateInterceptorTests.[engine:junit-jupiter]/[class:edu.ucsb.cs.citelines.interceptors.RoleUpdateInterceptorTests]/[method:researcher_role_removed_when_user_loses_researcher_status()]
