GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
citelines,edu.ucsb.cs.citelines.collections,CitationFilterState,0,22,0,2,0,1,0,2,0,1
citelines,edu.ucsb.cs.citelines.collections,CitationFilterState.Scope,0,21,0,0,0,4,0,1,0,1
citelines,edu.ucsb.cs.citelines.collections,UnresolvedCitation,0,54,0,6,0,7,0,4,0,1
citelines,edu.ucsb.cs.citelines.collections,CitationEdge,0,18,0,0,0,1,0,1,0,1
citelines,edu.ucsb.cs.citelines.utilities,CanonicalFormConverter,0,15,0,0,0,3,0,3,0,3
citelines,edu.ucsb.cs.citelines.startup,WiremockApplicationRunner,0,17,0,0,0,6,0,3,0,3
citelines,edu.ucsb.cs.citelines.startup,ScaffoldApplicationRunner,0,14,0,0,0,5,0,3,0,3
citelines,edu.ucsb.cs.citelines.startup,ScaffoldStartup,0,34,0,0,0,11,0,4,0,4
citelines,edu.ucsb.cs.citelines.controller,AdminsController.AdminDTO,0,18,0,0,0,3,0,2,0,2
citelines,edu.ucsb.cs.citelines.controller,BibTexEntriesController,0,667,0,54,0,150,0,57,0,30
citelines,edu.ucsb.cs.citelines.controller,HealthController,0,7,0,0,0,2,0,2,0,2
citelines,edu.ucsb.cs.citelines.controller,AdminsController,0,82,0,2,0,16,0,8,0,7
citelines,edu.ucsb.cs.citelines.controller,CitationEdgesController,0,36,0,2,0,8,0,6,0,5
citelines,edu.ucsb.cs.citelines.controller,UserInfoController,0,6,0,0,0,2,0,2,0,2
citelines,edu.ucsb.cs.citelines.controller,CitationFilterStateController,0,92,0,10,0,24,0,12,0,7
citelines,edu.ucsb.cs.citelines.controller,CitationFormatController,0,5,0,0,0,2,0,2,0,2
citelines,edu.ucsb.cs.citelines.controller,ProjectsController,0,165,0,4,0,42,0,14,0,12
citelines,edu.ucsb.cs.citelines.controller,ApiController,0,50,0,0,0,14,0,8,0,8
citelines,edu.ucsb.cs.citelines.controller,ProjectCollaboratorsController,0,81,0,0,0,21,0,8,0,8
citelines,edu.ucsb.cs.citelines.controller,ResearchersController,0,65,0,2,0,14,0,6,0,5
citelines,edu.ucsb.cs.citelines.controller,SystemInfoController,0,7,0,0,0,2,0,2,0,2
citelines,edu.ucsb.cs.citelines.controller,JobsController,0,253,0,10,0,79,0,22,0,17
citelines,edu.ucsb.cs.citelines.controller,TagsController,0,206,0,12,0,40,0,18,0,12
citelines,edu.ucsb.cs.citelines.services,SystemInfoServiceImpl,0,58,0,4,0,15,0,5,0,3
citelines,edu.ucsb.cs.citelines.services,CitationGraphService.ExistingEntries,0,9,0,0,0,1,0,1,0,1
citelines,edu.ucsb.cs.citelines.services,CitationEdgeService,0,43,0,0,0,11,0,4,0,4
citelines,edu.ucsb.cs.citelines.services,DblpResolver,0,282,0,22,0,70,0,26,0,15
citelines,edu.ucsb.cs.citelines.services,BulkCitationUploadFromACMDLViewAllService.ParsedEntry,0,9,0,0,0,1,0,1,0,1
citelines,edu.ucsb.cs.citelines.services,BulkCitationUploadFromACMDLViewAllService,0,496,0,50,0,106,0,36,0,11
citelines,edu.ucsb.cs.citelines.services,BibTexConverterService,0,200,0,12,0,49,0,16,0,10
citelines,edu.ucsb.cs.citelines.services,DOIService,0,47,0,6,0,14,0,6,0,3
citelines,edu.ucsb.cs.citelines.services,CitationGraphService.ResolveOrCreateResult,0,12,0,0,0,1,0,1,0,1
citelines,edu.ucsb.cs.citelines.services,BibTexEntryCoalescingService,0,143,0,22,0,32,0,17,0,6
citelines,edu.ucsb.cs.citelines.services,CitationGraphService,0,857,0,74,0,170,0,56,0,19
citelines,edu.ucsb.cs.citelines.services,CitationGraphService.ResolverResult,0,9,0,0,0,1,0,1,0,1
citelines,edu.ucsb.cs.citelines.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
citelines,edu.ucsb.cs.citelines.services,ResolvedWork,0,78,0,0,0,3,0,2,0,2
citelines,edu.ucsb.cs.citelines.services,CitationFormattingService,0,236,0,16,0,48,0,15,0,7
citelines,edu.ucsb.cs.citelines.services,BibTexEntryImproveService.Outcome,0,27,0,0,0,5,0,1,0,1
citelines,edu.ucsb.cs.citelines.services,CrossrefResolver,0,407,0,38,0,96,0,38,0,19
citelines,edu.ucsb.cs.citelines.services,DoiToBibTexService,0,167,0,14,0,40,0,14,0,7
